year_month,active_users,new_users,new_groups,old_users,total_users,total_groups
2015-06,98666,16290,83,82376,614752,3389
2015-07,109931,17564,61,92367,632316,3450
2015-08,108908,16861,60,92047,649177,3510
2015-09,106000,16934,75,89066,666111,3585
2015-10,96413,15607,79,80806,681718,3664
2015-11,88165,13853,70,74312,695571,3734
2015-12,85247,12389,65,72858,707960,3799
2016-01,120017,17826,118,102191,725786,3917
2016-02,121153,17242,94,103911,743028,4011
2016-03,127633,17952,94,109681,760980,4105
2016-04,124830,16864,81,107966,777844,4186
2016-05,128483,17632,86,110851,795476,4272
2016-06,134680,17980,94,116700,813456,4366
2016-07,133093,18142,123,114951,831598,4489
2016-08,122694,17153,116,105541,848751,4605
2016-09,126080,17712,124,108368,866463,4729
2016-10,119522,17599,16,101923,884062,4745
2016-11,100546,14932,1,85614,898994,4746
2016-12,85749,13018,1,72731,912012,4747
2017-01,122879,18393,0,104486,930405,4747
2017-02,99089,15771,0,83318,946176,4747
2017-03,117152,18376,2,98776,964552,4749
2017-04,116225,18642,1,97583,983194,4750
2017-05,108483,17477,1,91006,1000671,4751
2017-06,112547,19323,0,93224,1019994,4751
2017-07,117385,20258,0,97127,1040252,4751
2017-08,104068,19380,1,84688,1059632,4752
