year_month,active_users,new_users,new_groups,old_users,total_users,total_groups
2016-01,135485,19127,142,116358,517778,3507
2016-02,134942,19444,140,115498,537222,3647
2016-03,132707,17084,140,115623,554306,3787
2016-04,135668,17788,153,117880,572094,3940
2016-05,140802,17277,129,123525,589371,4069
2016-06,126834,15856,113,110978,605227,4182
2016-07,133373,16341,140,117032,621568,4322
2016-08,134938,17293,144,117645,638861,4466
2016-09,146715,21866,157,124849,660727,4623
2016-10,140993,19324,43,121669,680051,4666
2016-11,116518,17204,1,99314,697255,4667
2016-12,83043,11296,0,71747,708551,4667
2017-01,138326,20648,2,117678,729199,4669
2017-02,111425,17176,1,94249,746375,4670
2017-03,115560,18177,0,97383,764552,4670
2017-04,109229,16417,0,92812,780969,4670
2017-05,109936,17089,0,92847,798058,4670
2017-06,98357,15774,1,82583,813832,4671
2017-07,109946,17853,2,92093,831685,4673
